"","queried_ursi","age","sex","firstSum","secondSum","allSum","past","positive","future","negative","friends","specific_vague","words","images","EHI","MeanFD"
"19",116842,47,"male",94,35,129,0.174064962295026,-0.209839686429059,-0.640438156146398,-0.656034805991692,0.0365444106381709,0.266344174792738,-1.08472895073904,-0.917126263672712,100,0.2141
"20",117168,19,"male",46,24,70,-1.07082217290493,-0.955222399150629,-0.146637659251195,1.88462677952906,0.593987646677721,-0.78247580706548,1.06483554604621,0.808746652955287,100,0.2511
"21",118051,39,"female",61,8,69,-0.88093089704441,0.868878959526027,1.79529010704571,-0.369528806199846,1.1012803997364,-1.7614368469783,-0.18389887815627,-0.087727971534782,100,0.198
"22",119866,20,"male",75,40,115,-0.0752629126220301,-0.135390701294564,0.18806302782439,-0.689038982077245,-0.712153743526932,0.848476660528723,-2.66176043344235,-1.55756274271993,85,0.1492
"23",120557,52,"female",181,44,225,2.62347120193352,1.58805010579988,0.632251853859154,1.18858179014297,0.032826976562987,1.29644925450568,-0.332536120337616,-0.898593570391359,100,0.6847
"24",122169,32,"male",128,48,176,1.21461383283551,1.47727761797326,-0.0290464946855118,-0.609868781971781,-0.482742981779902,1.56538734844726,0.0971487563035789,-0.729674062143321,100,0.1788
"25",122512,19,"female",62,20,82,-0.722796869742939,0.433321119229999,0.962836525263266,-0.465410273722024,2.27550307184767,-0.956046108196697,-0.220614562767482,0.358716117735079,85,0.1289
"26",122816,39,"female",41,42,83,-1.26564451190958,0.210328532180681,-0.220300457403429,0.612197305680243,-0.306575693853011,0.722652265724969,1.26450248680319,-0.671539042650328,75,0.3423
"27",122844,44,"female",121,40,161,0.964861171631792,0.975753525572716,1.20959260205444,0.348978819208942,-0.328313120166979,0.646583953479105,-0.26605772055926,-0.348752580054237,90,0.2856
"28",123173,24,"female",60,43,103,-0.721466538786487,0.708025276143584,0.885482781454269,-0.111121606624989,1.16822564298856,0.620572211529882,-0.198614677724068,1.51929839916911,85,0.2348
"29",123429,43,"female",38,30,68,-1.45127110218018,0.519129224819663,0.178724541724477,-0.0898765889160142,-0.579691092038018,-0.000189028799973842,-1.08738358020589,1.40705307271691,85,0.2919
"30",123971,20,"male",77,30,107,-0.352818636266676,0.403236746356325,-0.399099529034982,0.0484605260973345,-0.554671238693778,-0.0991610890517649,0.413086485447565,-0.58061693380227,60,0.2317
"31",125762,60,"female",59,47,106,-0.704430602671253,0.863438554792352,1.20242991547794,-1.18051392383588,0.0373649635801955,1.1480495331828,-1.20706211178584,1.31209247193381,80,0.2911
